user_id,recomendations
1,"[874972, 976335, 1132231, 1046816, 990656]"
2,"[874972, 1044759, 960791, 947798, 1053690]"
3,"[874972, 827683, 908531, 13842214, 989069]"
4,"[874972, 1029743, 1082185, 1127831, 951590]"
5,"[874972, 1029743, 1082185, 1127831, 951590]"
6,"[12384953, 960791, 1016276, 986912, 1119051]"
7,"[874972, 998549, 859987, 5591154, 1122358]"
8,"[874972, 867138, 846334, 982790, 1062002]"
9,"[874972, 918046, 995242, 1056005, 883404]"
10,"[874972, 986912, 1106523, 1043766, 1029743]"
11,"[874972, 1029743, 1082185, 1127831, 951590]"
12,"[874972, 1029743, 1127831, 1082185, 951590]"
13,"[874972, 8090539, 6464165, 1038985, 862070]"
14,"[1015785, 985893, 921836, 878445, 1127758]"
15,"[874972, 1098844, 1127179, 1070820, 901666]"
16,"[874972, 12263788, 1029743, 1082185, 1106523]"
17,"[874972, 951590, 981760, 1029743, 1082185]"
18,"[878715, 904813, 5568729, 9677886, 1053628]"
19,"[874972, 882604, 9296804, 962229, 999104]"
20,"[874972, 911614, 897954, 1075368, 1126899]"
21,"[874972, 947798, 1058997, 842930, 934697]"
22,"[956599, 881047, 859427, 1070820, 944836]"
23,"[1034176, 12648296, 1029743, 1082185, 1106523]"
24,"[844462, 914318, 1055168, 1036501, 1106523]"
25,"[874972, 1133018, 1043751, 8090521, 929018]"
26,"[874972, 1081189, 960791, 1106301, 905072]"
27,"[874972, 1082185, 996425, 963686, 986912]"
28,"[948670, 921836, 1119051, 943233, 878996]"
29,"[874972, 1029743, 1082185, 1106523, 1127831]"
30,"[874972, 995242, 1029743, 1082185, 1106523]"
31,"[860248, 1082990, 1127232, 1126899, 898847]"
32,"[874972, 843111, 1058997, 992986, 1009449]"
33,"[836445, 1106301, 5981267, 5592094, 8357613]"
34,"[874972, 1101010, 839262, 1044805, 993638]"
35,"[874972, 1053690, 1029743, 1082185, 1106523]"
36,"[874972, 1066725, 997988, 962229, 1062002]"
